,gross_exposure
2017-02-01,0.08436640020967107
2017-02-02,0.08422239115048888
2017-02-03,0.08455834184943531
2017-02-06,0.08527740685465923
2017-02-07,0.08601925491837588
2017-02-08,0.08632999450793731
2017-02-09,0.08654499816974323
2017-02-10,0.08637778184575955
2017-02-13,0.08707013692902685
2017-02-14,0.08811860513677175
2017-02-15,0.08840413318025259
2017-02-16,0.08830897703549061
2017-02-17,0.08852305043178794
2017-02-21,0.0890934216358564
2017-02-22,0.0893546032739026
2017-02-23,0.08899840934574565
2017-02-24,0.0890934216358564
2017-02-27,0.08923590291717719
2017-02-28,0.08928338677302468
2017-03-01,0.09094220811324191
2017-03-02,0.09044519656339495
2017-03-03,0.09094220811324191
2017-03-06,0.09068193649141072
2017-03-07,0.09077659795960857
2017-03-08,0.09046887610319958
2017-03-09,0.09027940525479779
2017-03-10,0.09053990732545425
2017-03-13,0.09058725531028736
2017-03-14,0.09046887610319958
2017-03-15,0.09134415314190594
2017-03-16,0.0
2017-03-17,0.08247616821216137
2017-03-20,0.08205891142497046
2017-03-21,0.08131883850665142
2017-03-22,0.08199927233036201
2017-03-23,0.08239274720421869
2017-03-24,0.08288709311005096
2017-03-27,0.08321437840643656
2017-03-28,0.0834760385044498
2017-03-29,0.08400484917635315
2017-03-30,0.0840226636241054
2017-03-31,0.0843313373253493
2017-04-03,0.08401078740259574
2017-04-04,0.08427792791916992
2017-04-05,0.08418889839516736
2017-04-06,0.08434320523621282
2017-04-07,0.08438474050169457
2017-04-10,0.08434913907628101
2017-04-11,0.08422451228206623
2017-04-12,0.08388606848080503
2017-04-13,0.08369001297016862
2017-04-17,0.08424825333454318
2017-04-18,0.08414140890352356
2017-04-19,0.08438474050169457
2017-04-20,0.08509618808964174
2017-04-21,0.08515542548576537
2017-04-24,0.08596620607566113
2017-04-25,0.16785896792665522
2017-04-26,0.16764661472276093
2017-04-27,0.25181703920308274
2017-04-28,0.2522693528822191
2017-05-01,0.1647205522068191
2017-05-02,0.1648754085426501
2017-05-03,0.16465483087547755
2017-05-04,0.2487190704767852
2017-05-05,0.335872784646643
2017-05-08,0.33462200288972066
2017-05-09,0.3357635949359186
2017-05-10,0.4181183292568139
2017-05-11,0.4179292027203491
2017-05-12,0.4175114071071039
2017-05-15,0.41902959560744346
2017-05-16,0.4179112591015042
2017-05-17,0.4165006332338083
2017-05-18,0.41676003593168837
2017-05-19,0.41908871471152337
2017-05-22,0.5030471160623649
2017-05-23,0.5035696118873738
2017-05-24,0.5051631924124061
2017-05-25,0.5080412125756489
2017-05-26,0.5077262514574171
2017-05-30,0.5081333755555395
2017-05-31,0.5077442820216571
2017-06-01,0.5097148974662555
2017-06-02,0.5966920168838101
2017-06-05,0.5971854464893449
2017-06-06,0.5969328597292948
2017-06-07,0.5126473510123998
2017-06-08,0.513127618524077
2017-06-09,0.4267300198664686
2017-06-12,0.42673766783015576
2017-06-13,0.4286373512856601
2017-06-14,0.42859571335497065
2017-06-15,0.42891701112004593
2017-06-16,0.343281419864309
2017-06-19,0.2557255849489953
2017-06-20,0.2549753319392672
2017-06-21,0.2545450765967248
2017-06-22,0.17035386529475413
2017-06-23,0.17055785114348626
2017-06-26,0.1705879380732055
2017-06-27,0.16879066127279244
2017-06-28,0.16933689007503938
2017-06-29,0.16689966590889108
2017-06-30,0.1685268399458731
2017-07-03,0.16836424909279823
2017-07-05,0.08591936554362735
2017-07-06,0.08531188555146958
2017-07-07,0.08746084762154888
2017-07-10,0.08793410438282538
2017-07-11,0.08805234188365178
2017-07-12,0.0891675192604535
2017-07-13,0.08868242450146203
2017-07-14,0.08996614351778785
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0840761547496563
2017-07-27,0.08364229301219746
2017-07-28,0.0838175558753347
2017-07-31,0.08456792370413513
2017-08-01,0.08499258679813351
2017-08-02,0.16930364378936194
2017-08-03,0.1691578208465526
2017-08-04,0.16946290563813807
2017-08-07,0.1693503980209259
2017-08-08,0.16912692233048793
2017-08-09,0.16954402416490189
2017-08-10,0.16769473471902582
2017-08-11,0.2534036241929772
2017-08-14,0.2558182305190122
2017-08-15,0.25663010606346714
2017-08-16,0.2583989560957503
2017-08-17,0.25643399037086767
2017-08-18,0.33900890403992834
2017-08-21,0.33767655494231963
2017-08-22,0.34016651123060876
2017-08-23,0.33941561492970496
2017-08-24,0.33870305080432767
2017-08-25,0.33936039841181675
2017-08-28,0.33948805826675343
2017-08-29,0.3397142364969742
2017-08-30,0.3416796067515754
2017-08-31,0.34230881422790227
2017-09-01,0.34283552353704716
2017-09-05,0.3418263700853182
2017-09-06,0.34260250185625185
2017-09-07,0.2587298870041677
2017-09-08,0.25868320956545793
2017-09-11,0.2616581079845171
2017-09-12,0.26264235693365634
2017-09-13,0.2628964663709119
2017-09-14,0.17684664153453863
2017-09-15,0.1768517655061212
2017-09-18,0.17791007315017218
2017-09-19,0.17849794705154584
2017-09-20,0.17755983996745056
2017-09-21,0.17753166271217305
2017-09-22,0.17945628413190948
2017-09-25,0.08514094716079873
2017-09-26,0.08445111796621141
2017-09-27,0.08934149029529717
2017-09-28,0.0922970605119133
2017-09-29,0.09472347127743555
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
