symbol,year,quarter,quarter_str,transcript_id,transcript_date,company_name,sector,industry,transcript_length,return_30d
WM,2017,3,2017Q3,16828,2017-10-26,Waste Management,Industrials,Waste Management,69620,9.1085
WMB,2017,3,2017Q3,22473,2017-11-02,Williams Companies,Energy,Oil & Gas Midstream,60897,3.265
WMT,2017,3,2017Q3,22220,2016-11-17,Walmart,Consumer Defensive,Discount Stores,29292,-3.8235
WRB,2017,3,2017Q3,12325,2017-10-24,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,38635,-0.385
WST,2017,3,2017Q3,12217,2017-10-28,West Pharmaceutical Services,Healthcare,Medical - Instruments & Supplies,38832,-2.1352
WTW,2017,3,2017Q3,13147,2017-11-02,Willis Towers Watson,Financial Services,Insurance - Brokers,52857,-3.0514
WYNN,2017,3,2017Q3,14057,2017-10-26,Wynn Resorts,Consumer Cyclical,"Gambling, Resorts & Casinos",40521,13.0178
XEL,2017,3,2017Q3,23233,2017-10-26,Xcel Energy,Utilities,Regulated Electric,41134,3.6857
XOM,2017,3,2017Q3,23245,2017-10-27,ExxonMobil,Energy,Oil & Gas Integrated,83377,-0.5271
XYL,2017,3,2017Q3,13708,2017-10-31,Xylem Inc.,Industrials,Industrial - Machinery,64825,4.409
XYZ,2017,3,2017Q3,11556,2017-11-08,"Block, Inc.",Technology,Software - Infrastructure,44325,-2.4211
YUM,2017,3,2017Q3,16960,2017-11-02,Yum! Brands,Consumer Cyclical,Restaurants,44777,10.7523
ZBH,2017,3,2017Q3,14912,2017-11-01,Zimmer Biomet,Healthcare,Medical - Devices,55614,-7.2379
ZBRA,2017,3,2017Q3,12301,2017-11-07,Zebra Technologies,Technology,Communication Equipment,50416,-8.1268
