d7_min_dir,d7_day_ret,d7_pos,d7_no_high_risk,d6_eps,d6_day_ret,d6_pos,d6_low_risk,d6_no_tech,n_trades,coverage,win_rate,wins,losses,avg_return,std_return,sharpe_like,d7_trades,d6_trades
7,0.0,0,True,0.0,0.0,1,True,True,156,7.890743550834597,77.56410256410257,121,35,11.505420512820514,17.34593984452183,6.425807802860789,128,28
7,0.0,0,True,0.0,0.0,1,True,False,163,8.244815376833586,77.91411042944786,127,36,11.757338036809815,17.314285152023498,6.754828978876921,128,35
7,0.0,0,True,0.0,0.0,1,False,True,182,9.205867475973697,78.57142857142857,143,39,11.602072527472526,16.902711643709754,7.275779635358124,128,54
7,0.0,0,True,0.0,0.0,1,False,False,193,9.762266059686393,79.27461139896373,153,40,12.02728860103627,16.826833809089685,7.87187343990924,128,65
7,0.0,0,True,0.0,0.0,2,True,True,154,7.789580171977745,77.27272727272727,119,35,11.469429220779222,17.454309838468124,6.301235710676911,128,26
7,0.0,0,True,0.0,0.0,2,True,False,161,8.143651997976733,77.63975155279503,125,36,11.726040993788821,17.41820845379366,6.632007358640325,128,33
7,0.0,0,True,0.0,0.0,2,False,True,180,9.104704097116842,78.33333333333333,141,39,11.572353888888887,16.992989015892128,7.157062166984582,128,52
7,0.0,0,True,0.0,0.0,2,False,False,191,9.66110268082954,79.05759162303664,151,40,12.003734031413613,16.912142709536557,7.75493198414509,128,63
7,0.0,0,True,0.0,0.0,3,True,True,146,7.38492665655033,78.76712328767124,115,31,12.07421095890411,17.330908053799675,6.6306919796792085,128,18
7,0.0,0,True,0.0,0.0,3,True,False,153,7.7389984825493165,79.08496732026144,121,32,12.316570588235296,17.289637149988835,6.968568542356921,128,25
7,0.0,0,True,0.0,0.0,3,False,True,168,8.49772382397572,79.16666666666666,133,35,11.994767857142858,17.04803459675438,7.21962315652234,128,40
7,0.0,0,True,0.0,0.0,3,False,False,178,9.003540718259991,79.7752808988764,142,36,12.385442696629214,16.985382601026433,7.760943890414953,128,50
7,0.0,0,True,0.0,0.25,1,True,True,154,7.789580171977745,78.57142857142857,121,33,11.860161038961039,17.162068350343755,6.738232136030043,128,26
7,0.0,0,True,0.0,0.25,1,True,False,161,8.143651997976733,78.88198757763976,127,34,12.09978447204969,17.1328225927697,7.0686991738390725,128,33
7,0.0,0,True,0.0,0.25,1,False,True,180,9.104704097116842,79.44444444444444,143,37,11.906646666666665,16.735128346986183,7.5833343319436795,128,52
7,0.0,0,True,0.0,0.25,1,False,False,190,9.610520991401113,80.0,152,38,12.277285263157896,16.694246078443086,8.109653964150494,128,62
7,0.0,0,True,0.0,0.25,2,True,True,152,7.688416793120891,78.28947368421053,119,33,11.828363815789475,17.271319658107284,6.61034793733477,128,24
