Segment,Years,Samples,Signals,Trades,CAGR%,Sharpe,Sortino,MaxDD%,WinRate%,WilsonLB%,ProfitFactor,AvgExposure%
Tune (2019-2023),2019-2023,2167,153,118,22.76,2.48,4.87,-5.63,82.2,74.32,6.47,26.49
Validate (2024),2024-2024,182,27,26,16.42,2.47,4.54,-3.23,80.77,62.12,8.81,22.74
Holdout (2025),2025-2025,401,7,6,4.76,2.44,4.74,-1.44,83.33,43.65,21.78,6.06
Full (2017-2025),2017-2025,3388,266,179,13.47,2.0,3.63,-5.73,78.77,72.21,5.93,21.05
Early (2017-2018),2017-2018,638,79,67,14.48,1.9,3.03,-5.73,77.61,66.29,5.22,34.12
