slippage_bps,commission_bps,cap_per_quarter,total_cost_bps,cagr,sharpe,sortino,max_drawdown,calmar,win_rate,n_trades,exposure_avg
0,0,10,0,16.25730898899238,1.8445664354382518,2.912153301849215,-20.30120670805353,0.8008050567035048,86.04651162790698,172,26.336998272427277
0,0,12,0,14.175704524911925,1.9147273764849,3.090827407993271,-16.94758920622037,0.8364437178893229,86.11111111111111,180,23.02933296459287
0,0,15,0,11.770140243436833,1.9835299207948833,3.2483397968364374,-13.582189245397602,0.8665863824143967,86.26373626373626,182,18.74171970972648
0,2,10,2,16.153888884561173,1.8342053991711103,2.8948831458709954,-20.306764229159768,0.795493004314532,86.04651162790698,172,26.33459272085853
0,2,12,2,14.086423063969233,1.9039739968574738,3.0723936078676255,-16.952095081648764,0.8309546988807465,86.11111111111111,180,23.02687531006171
0,2,15,2,11.698606173939563,1.9726703547512707,3.22935769007334,-13.585692693490358,0.8610975117628709,86.26373626373626,182,18.739214161161165
10,0,10,10,15.741109624739046,1.7926722405400377,2.825804897460374,-20.34446155301135,0.7737294783507837,86.04651162790698,172,26.324966385179742
10,0,12,10,13.730006011104656,1.8608658395508364,2.9986665946495306,-16.970103390352975,0.8090702628782909,85.55555555555556,180,23.01704088598257
10,0,15,10,11.412973433008,1.929136100648676,3.1534504797724217,-13.604094865561777,0.8389366250230647,85.71428571428571,182,18.729188173180514
10,2,10,12,15.638139723624134,1.7822671461742763,2.8085334994547004,-20.39470010740808,0.7667746836808748,86.04651162790698,172,26.322558768442494
10,2,12,12,13.641078671816853,1.8500656130248436,2.980233879644627,-16.995046958114525,0.802650248948193,85.55555555555556,180,23.01458132806356
10,2,15,12,11.341690959681806,1.9182290190958722,3.1344753161072134,-13.637514490262548,0.831653815494018,85.71428571428571,182,18.726680727346608
25,0,10,25,14.971021273674157,1.714429916324688,2.69623975853194,-20.72038591989035,0.7225261793653591,86.04651162790698,172,26.306899180955273
25,0,12,25,13.064770869851161,1.7796469993940554,2.860396171640616,-17.275714375167983,0.7562506873018456,85.55555555555556,180,22.998584912894902
25,0,15,25,10.879577359922997,1.8471127515423942,3.0111405714901998,-13.854331099548588,0.7852834815155734,85.71428571428571,182,18.71037307060305
25,2,10,27,14.868723165064935,1.7039629915329413,2.6789659499604928,-20.77035864079042,0.7158626108585625,86.04651162790698,172,26.30448846208857
25,2,12,27,12.9763721524502,1.768780987572226,2.8419635483812837,-17.31879371096611,0.7492653569880953,85.55555555555556,180,22.996122496042336
25,2,15,27,10.808670668587016,1.8361389466222984,2.9921754528958573,-13.887624361275286,0.7782951487891819,85.71428571428571,182,18.707862775030573
