ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
NOW,1d,2025-12-24T00:00:00,153.5,153.94,152.01,152.59,3896800.0,normal,2025-12-26T07:00:40.294247Z,2025-12-24
NOW,1d,2025-12-23T00:00:00,155.5,156.09,151.63,154.36,12572500.0,normal,2025-12-26T07:00:40.294247Z,2025-12-23
NOW,1d,2025-12-22T00:00:00,156.86,157.16,153.15,156.68,11120320.0,normal,2025-12-26T07:00:40.294247Z,2025-12-22
NOW,1d,2025-12-19T00:00:00,152.97,156.16,152.54,155.31,25257500.0,normal,2025-12-26T07:00:40.294247Z,2025-12-19
NOW,1d,2025-12-18T00:00:00,156.51,157.78,151.15,153.38,9644020.0,normal,2025-12-26T07:00:40.294247Z,2025-12-18
NOW,1d,2025-12-17T00:00:00,157.0,161.93,156.29,156.48,55783900.0,normal,2025-12-26T07:00:40.294247Z,2025-12-17
NOW,1d,2025-12-16T00:00:00,154.89,157.21,153.91,156.22,83362875.0,normal,2025-12-26T07:00:40.294247Z,2025-12-16
NOW,1d,2025-12-15T00:00:00,159.6,160.68,152.11,153.04,148145625.0,normal,2025-12-26T07:00:40.294247Z,2025-12-15
NOW,1d,2025-12-12T00:00:00,173.48,174.93,171.58,173.01,37475775.0,normal,2025-12-26T07:00:40.294247Z,2025-12-12
NOW,1d,2025-12-11T00:00:00,170.6,175.0,170.22,173.5,35193700.0,normal,2025-12-26T07:00:40.294247Z,2025-12-11
NOW,1d,2025-12-10T00:00:00,850.57,861.655,846.135,853.16,967787.0,normal,2025-12-26T07:00:40.294247Z,2025-12-10
NOW,1d,2025-12-09T00:00:00,852.61,861.0,849.0,854.91,979224.0,normal,2025-12-26T07:00:40.294247Z,2025-12-09
NOW,1d,2025-12-08T00:00:00,854.24,871.98,850.43,853.52,1548216.0,normal,2025-12-26T07:00:40.294247Z,2025-12-08
NOW,1d,2025-12-05T00:00:00,840.83,861.5,838.01,854.36,1294600.0,normal,2025-12-26T07:00:40.294247Z,2025-12-05
