ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
NTRS,1d,2025-12-15T00:00:00,139.61,140.75,138.31,139.62,1322940.0,normal,2026-01-01T03:40:40.807057Z,2025-12-15
NTRS,1d,2025-12-12T00:00:00,140.75,140.75,137.58,138.52,784627.0,normal,2026-01-01T03:40:40.807057Z,2025-12-12
NTRS,1d,2025-12-11T00:00:00,137.77,140.18,136.85,140.09,1022900.0,normal,2026-01-01T03:40:40.807057Z,2025-12-11
NTRS,1d,2025-12-10T00:00:00,133.31,137.78,132.24,137.58,1020330.0,normal,2026-01-01T03:40:40.807057Z,2025-12-10
NTRS,1d,2025-12-09T00:00:00,133.41,134.92,132.89,133.38,793200.0,normal,2026-01-01T03:40:40.807057Z,2025-12-09
NTRS,1d,2025-12-08T00:00:00,133.0,134.62,132.82,133.49,1091804.0,normal,2026-01-01T03:40:40.807057Z,2025-12-08
NTRS,1d,2025-12-05T00:00:00,132.03,133.72,131.64,133.21,803547.0,normal,2026-01-01T03:40:40.807057Z,2025-12-05
NTRS,1d,2025-12-04T00:00:00,132.0,133.8,132.0,133.21,831632.0,normal,2026-01-01T03:40:40.807057Z,2025-12-04
NTRS,1d,2025-12-03T00:00:00,130.4,132.24,130.4,132.16,964739.0,normal,2026-01-01T03:40:40.807057Z,2025-12-03
NTRS,1d,2025-12-02T00:00:00,131.62,132.05,130.37,130.43,779725.0,normal,2026-01-01T03:40:40.807057Z,2025-12-02
NTRS,1d,2025-12-01T00:00:00,129.98,132.05,129.98,130.98,922700.0,normal,2026-01-01T03:40:40.807057Z,2025-12-01
NTRS,1d,2025-11-28T00:00:00,131.51,132.55,131.15,131.34,438548.0,normal,2026-01-01T03:40:40.807057Z,2025-11-28
NTRS,1d,2025-11-26T00:00:00,130.11,132.17,129.78,131.37,626300.0,normal,2026-01-01T03:40:40.807057Z,2025-11-26
NTRS,1d,2025-11-25T00:00:00,129.26,130.82,128.27,129.93,885910.0,normal,2026-01-01T03:40:40.807057Z,2025-11-25
NTRS,1d,2025-11-24T00:00:00,126.42,129.26,126.24,128.75,1971102.0,normal,2026-01-01T03:40:40.807057Z,2025-11-24
