ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
EME,1d,2025-12-10T00:00:00,623.83,633.1,611.06,626.55,218978.0,normal,2025-12-11T07:46:17.783928Z,2025-12-10
EME,1d,2025-12-09T00:00:00,625.78,636.31,622.54,623.74,408685.0,normal,2025-12-11T07:46:17.783928Z,2025-12-09
EME,1d,2025-12-08T00:00:00,626.8,645.32,621.77,629.22,475700.0,normal,2025-12-11T07:46:17.783928Z,2025-12-08
EME,1d,2025-12-05T00:00:00,633.26,637.81,622.64,623.62,387716.0,normal,2025-12-11T07:46:17.783928Z,2025-12-05
EME,1d,2025-12-04T00:00:00,608.99,638.95,607.0,635.36,508581.0,normal,2025-12-11T07:46:17.783928Z,2025-12-04
EME,1d,2025-12-03T00:00:00,604.75,612.74,590.99,612.0,355175.0,normal,2025-12-11T07:46:17.783928Z,2025-12-03
EME,1d,2025-12-02T00:00:00,611.76,618.15,602.51,606.37,341231.0,normal,2025-12-11T07:46:17.783928Z,2025-12-02
EME,1d,2025-12-01T00:00:00,605.59,610.87,601.0,607.78,273811.0,normal,2025-12-11T07:46:17.783928Z,2025-12-01
EME,1d,2025-11-28T00:00:00,616.92,619.4,613.02,615.07,146000.0,normal,2025-12-11T07:46:17.783928Z,2025-11-28
EME,1d,2025-11-26T00:00:00,609.45,617.99,609.45,610.72,237600.0,normal,2025-12-11T07:46:17.783928Z,2025-11-26
EME,1d,2025-11-25T00:00:00,600.28,608.84,587.54,605.61,310183.0,normal,2025-12-11T07:46:17.783928Z,2025-11-25
EME,1d,2025-11-24T00:00:00,590.07,614.0,585.12,602.84,582636.0,normal,2025-12-11T07:46:17.783928Z,2025-11-24
EME,1d,2025-11-21T00:00:00,584.17,585.29,564.92,581.58,545750.0,normal,2025-12-11T07:46:17.783928Z,2025-11-21
EME,1d,2025-11-20T00:00:00,623.53,626.6,577.88,583.08,666747.0,normal,2025-12-11T07:46:17.783928Z,2025-11-20
EME,1d,2025-11-19T00:00:00,618.18,625.14,603.58,605.84,673163.0,normal,2025-12-11T07:46:17.783928Z,2025-11-19
EME,1d,2025-11-18T00:00:00,602.61,624.07,602.61,614.59,381910.0,normal,2025-12-11T07:46:17.783928Z,2025-11-18
EME,1d,2025-11-17T00:00:00,620.64,626.88,606.66,611.4,382400.0,normal,2025-12-11T07:46:17.783928Z,2025-11-17
EME,1d,2025-11-14T00:00:00,603.28,630.43,601.0,619.86,489033.0,normal,2025-12-11T07:46:17.783928Z,2025-11-14
EME,1d,2025-11-13T00:00:00,641.61,644.12,615.52,618.96,497428.0,normal,2025-12-11T07:46:17.783928Z,2025-11-13
EME,1d,2025-11-12T00:00:00,645.66,655.97,640.85,643.38,329109.0,normal,2025-12-11T07:46:17.783928Z,2025-11-12
